# Number of profiles,,,,,
1,,,,,
# ProfileID,Characterization Frequency,Frequency Scale,EPI Scale,Characterization Name,Characterization Description
125,1.00E+06,1.00E-12,Tiwari in ASIC 45nm,Tiwari Method for FreePDK45nm
# Stall consumption,,,,,
15.1,,,,,
1,lb,50.05,,,
2,lbu,41.94,,,
3,lh,48.51,,,
4,lhu,44.27,,,
5,lw,41.42,,,
6,lwl,41.42,,,
7,lwr,41.42,,,
8,sb,45.11,,,
9,sh,44.91,,,
10,sw,35.09,,,
11,swl,35.09,,,
12,swr,35.09,,,
13,addi,47.53,,,
14,addiu,48.69,,,
15,slti,40.54,,,
16,sltiu,40.39,,,
17,andi,37.32,,,
18,ori,50.4,,,
19,xori,48.17,,,
20,lui,41.42,,,
21,add,43.24,,,
22,addu,43.27,,,
23,sub,43.01,,,
24,subu,43.1,,,
25,slt,35.12,,,
26,sltu,35.13,,,
27,instr_and,35.14,,,
28,instr_or,54.14,,,
29,instr_xor,42.2,,,
30,instr_nor,45.13,,,
31,nop,32.58,,,
32,sll,35.09,,,
33,srl,35.03,,,
34,sra,35.15,,,
35,sllv,33.38,,,
36,srlv,43.5,,,
37,srav,40.48,,,
38,mult,46.51,,,
39,multu,46.12,,,
40,div,50.64,,,
41,divu,51.3,,,
42,mfhi,33.38,,,
43,mthi,33.39,,,
44,mflo,39.19,,,
45,mtlo,38.67,,,
46,j,48.96,,,
47,jal,53.76,,,
48,jr,40.49,,,
49,jalr,39.25,,,
50,beq,48.47,,,
51,bne,48.47,,,
52,blez,48.47,,,
53,bgtz,48.47,,,
54,bltz,48.47,,,
55,bgez,48.47,,,
56,bltzal,48.47,,,
57,bgezal,48.47,,,
58,sys_call,0,,,
59,instr_break,0,,,
